,Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208,Dist from rim,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,SrO,Si,Ti,Al,Fe,Mg,Ca,Na,K,Sr,An
1497,,14.56,42363.63,186.76,174485.73,298045.68,34.93,1639.61,93164.52,88474.34,62.7,137.99,2910.5,5.34,24.24,833.9,0.2,167.14,6.16,1.92,241.7,4.94,0.03,28.53,55.18,0.01,0.17,10.71,0.01,0.02,0.32,0.08,2.498,0.0,1.522,0.012,0.002,0.52,0.434,0.01,0.002,54.0
1498,,13.98,41573.19,178.49,173582.76,287965.28,54.91,1296.46,81946.68,90442.2,43.75,136.95,2845.76,4.86,22.62,916.13,0.25,167.14,7.76,1.84,242.28,4.94,0.03,28.93,54.35,0.01,0.14,11.16,0.01,0.02,0.32,0.09,2.459,0.0,1.542,0.012,0.002,0.541,0.433,0.008,0.002,55.0
1499,,14.76,42139.42,183.32,153719.23,265398.57,48.92,1288.52,82921.68,92014.77,47.96,125.14,3169.51,4.86,27.64,892.73,0.18,166.71,4.95,2.23,242.85,5.4,0.03,27.63,54.02,0.01,0.15,12.25,0.01,0.02,0.39,0.1,2.438,0.0,1.469,0.015,0.002,0.592,0.472,0.009,0.003,55.0
1500,,10.27,40606.22,192.97,169031.86,304676.22,49.92,1524.94,93164.52,81909.08,50.07,121.66,3039.99,3.75,22.46,941.53,0.08,165.25,5.28,1.66,243.43,4.77,0.03,27.82,56.78,0.01,0.16,9.98,0.01,0.01,0.34,0.09,2.579,0.0,1.489,0.013,0.002,0.486,0.42,0.009,0.002,53.0
1501,,12.61,41290.55,179.18,172779.86,269099.22,62.91,1484.78,83165.44,89224.82,64.81,123.05,2435.91,4.23,24.73,902.83,0.13,171.59,6.02,1.53,244.0,5.11,0.03,29.97,52.85,0.01,0.16,11.46,0.01,0.01,0.29,0.1,2.382,0.0,1.592,0.011,0.002,0.554,0.447,0.009,0.003,55.0
1502,,12.81,54809.74,174.36,151588.36,268970.75,47.92,997.65,103417.23,90937.74,81.66,121.32,2953.66,3.91,23.76,932.11,0.2,167.82,5.55,1.92,244.58,6.91,0.03,26.78,53.79,0.01,0.11,11.89,0.01,0.01,0.36,0.1,2.4,0.0,1.409,0.013,0.002,0.569,0.598,0.006,0.003,49.0
1503,,11.24,40395.5,179.87,167710.2,385105.28,35.93,1600.68,93164.52,78789.72,71.13,117.85,2888.92,4.23,25.54,913.47,0.3,178.86,6.16,1.75,245.16,4.15,0.02,24.14,62.76,0.01,0.15,8.4,0.01,0.01,0.28,0.08,2.885,0.0,1.308,0.011,0.001,0.414,0.37,0.009,0.002,52.0
1504,,11.63,38795.62,159.89,165195.95,264919.44,27.94,1501.02,94140.54,83685.02,52.17,133.12,2888.92,5.66,22.46,873.44,0.2,169.19,5.08,1.84,245.73,4.96,0.03,29.58,53.7,0.01,0.17,11.09,0.01,0.02,0.35,0.1,2.426,0.0,1.575,0.013,0.002,0.537,0.434,0.01,0.003,55.0
1505,,10.07,41951.79,164.71,165284.41,287596.25,45.92,1421.01,96825.07,85045.63,73.24,127.57,2867.34,7.4,24.41,848.53,0.34,173.81,6.69,1.79,246.31,5.09,0.02,28.13,55.42,0.01,0.15,10.72,0.01,0.01,0.33,0.09,2.508,0.0,1.5,0.012,0.001,0.52,0.447,0.009,0.002,53.0
1506,,10.85,41502.9,175.74,171684.79,282743.62,39.93,1286.42,87797.98,93292.3,77.45,98.07,2888.92,6.29,23.27,818.57,0.3,175.52,4.88,2.06,246.88,4.98,0.03,28.9,53.88,0.01,0.14,11.63,0.01,0.01,0.33,0.08,2.436,0.0,1.54,0.012,0.002,0.563,0.436,0.008,0.002,56.0
