,Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208,Dist from rim,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,SrO,Si,Ti,Al,Fe,Mg,Ca,Na,K,Sr,An
1277,,12.02,35846.76,497.15,151665.65,254624.95,56.91,1711.42,81946.68,94967.99,109.05,111.25,3644.66,40.28,26.19,778.51,0.25,136.29,5.15,2.23,115.1,4.73,0.08,28.06,53.33,0.01,0.2,13.01,0.02,0.01,0.46,0.09,2.417,0.001,1.499,0.017,0.005,0.632,0.416,0.012,0.002,60.0
1278,,13.2,36313.76,510.38,175717.93,252838.86,61.91,1401.79,91456.69,93320.95,85.88,102.92,4098.55,22.97,23.27,807.49,0.41,135.78,5.49,1.13,115.67,4.61,0.08,31.27,50.95,0.01,0.16,12.3,0.01,0.01,0.5,0.09,2.301,0.0,1.664,0.019,0.005,0.595,0.404,0.009,0.002,59.0
1279,,13.0,45409.33,401.2,153319.74,263604.35,51.92,1662.99,86822.55,90373.46,92.2,114.72,3385.45,14.71,29.59,786.4,0.34,140.64,5.42,1.17,116.25,5.83,0.06,27.6,53.73,0.01,0.19,12.05,0.01,0.01,0.41,0.09,2.416,0.0,1.463,0.015,0.004,0.58,0.508,0.011,0.002,53.0
1280,,10.85,35532.52,497.15,155558.37,257059.42,59.91,1505.39,96825.07,94100.07,87.98,109.17,2867.34,17.09,25.38,741.89,0.18,133.65,6.02,1.48,116.82,4.65,0.08,28.51,53.34,0.01,0.18,12.77,0.01,0.01,0.36,0.08,2.417,0.0,1.523,0.014,0.005,0.62,0.409,0.01,0.002,60.0
1281,,13.0,37331.47,430.37,156132.02,253481.12,61.91,1658.49,83409.2,84868.03,69.02,103.96,3363.85,18.52,31.53,768.51,0.27,136.46,4.41,1.22,117.4,4.96,0.07,29.07,53.44,0.01,0.2,11.7,0.01,0.01,0.43,0.09,2.415,0.0,1.548,0.016,0.005,0.567,0.435,0.012,0.002,56.0
1282,,13.0,39101.96,414.39,165361.8,260680.53,52.92,1694.81,90968.79,93936.8,96.41,108.82,3471.84,19.15,22.3,765.88,0.32,137.4,5.15,1.17,117.97,4.96,0.06,29.4,52.47,0.01,0.19,12.37,0.02,0.01,0.42,0.08,2.369,0.001,1.565,0.016,0.004,0.598,0.434,0.011,0.002,57.0
1283,,14.17,36074.91,446.36,155199.69,255312.06,45.92,1685.3,89993.06,104088.33,98.52,113.68,3061.58,20.58,22.79,737.17,0.13,123.24,4.08,1.35,118.55,4.67,0.07,28.15,52.43,0.01,0.19,13.98,0.02,0.01,0.38,0.08,2.375,0.001,1.503,0.014,0.005,0.679,0.41,0.011,0.002,62.0
1284,,12.81,40484.58,363.05,181993.62,250449.26,57.91,1531.84,80728.07,100608.05,83.77,120.97,3191.1,22.01,28.29,834.95,0.23,134.33,5.89,1.35,119.13,5.04,0.06,31.75,49.48,0.01,0.17,13.0,0.01,0.01,0.38,0.09,2.223,0.0,1.681,0.014,0.004,0.626,0.439,0.01,0.002,58.0
1285,,12.02,38966.7,404.67,190568.88,294781.38,42.93,1580.3,96825.07,93160.54,85.88,118.89,2694.73,14.39,28.94,740.5,0.32,140.64,4.35,1.57,119.7,4.45,0.06,30.49,53.4,0.01,0.16,11.04,0.01,0.01,0.29,0.07,2.419,0.0,1.628,0.011,0.004,0.536,0.391,0.009,0.002,57.0
1286,,16.51,39013.56,391.49,166322.77,264417.87,47.92,1812.21,99510.28,93395.43,62.7,117.5,3666.27,13.44,26.67,840.24,0.32,135.18,5.35,1.3,120.28,4.91,0.06,29.31,52.76,0.01,0.2,12.19,0.01,0.01,0.44,0.09,2.384,0.0,1.561,0.017,0.004,0.59,0.43,0.012,0.002,57.0
1287,,15.34,37974.73,382.47,157893.33,289033.67,30.94,1439.88,90236.99,89608.65,75.34,105.0,3493.44,13.91,25.38,793.08,0.41,129.81,5.75,1.26,120.85,4.65,0.06,27.09,56.14,0.01,0.16,11.38,0.01,0.01,0.41,0.08,2.553,0.0,1.452,0.016,0.004,0.554,0.41,0.009,0.002,57.0
1288,,13.0,34878.43,349.88,169869.7,278873.76,36.93,1385.65,81946.68,88878.22,64.81,111.25,2910.5,12.96,25.38,764.65,0.41,121.97,6.16,1.0,121.43,4.29,0.05,29.28,54.43,0.01,0.15,11.35,0.01,0.01,0.34,0.08,2.474,0.0,1.568,0.013,0.003,0.553,0.378,0.009,0.002,59.0
1289,,16.32,39825.79,341.56,149509.17,245490.62,34.93,1704.41,89261.32,82994.7,45.85,104.66,2824.18,10.26,24.08,779.56,0.2,122.05,5.28,1.13,122.0,5.45,0.06,28.68,53.32,0.01,0.21,11.79,0.01,0.01,0.37,0.09,2.401,0.0,1.522,0.014,0.004,0.569,0.476,0.012,0.002,54.0
1290,,11.63,36218.55,356.81,156510.92,249582.72,28.94,1782.16,107081.31,81181.51,62.7,100.84,3320.66,8.36,24.41,815.76,0.41,125.97,5.08,1.3,122.58,4.88,0.06,29.56,53.38,0.01,0.21,11.36,0.01,0.01,0.43,0.09,2.413,0.0,1.575,0.016,0.004,0.55,0.428,0.012,0.002,56.0
1291,,14.56,36003.68,295.87,161999.64,285534.88,47.92,1547.82,96092.86,85925.0,41.64,115.76,2586.87,8.2,22.95,801.16,0.18,134.76,5.55,1.61,123.15,4.44,0.04,28.01,55.91,0.01,0.17,11.0,0.01,0.01,0.3,0.08,2.544,0.0,1.502,0.011,0.003,0.536,0.392,0.01,0.002,57.0
1292,,14.76,34486.41,322.86,168284.22,274887.67,46.92,1916.94,84628.13,91536.41,73.24,113.68,2328.1,7.72,23.27,776.4,0.2,128.79,5.82,1.17,123.73,4.27,0.05,29.23,54.06,0.01,0.21,11.77,0.01,0.01,0.28,0.08,2.457,0.0,1.565,0.011,0.003,0.573,0.376,0.012,0.002,60.0
1293,,14.17,41441.47,329.09,158136.94,246204.23,29.94,1590.44,86091.02,91799.94,71.13,101.19,3299.06,10.26,22.95,825.26,0.23,129.64,5.02,1.61,124.3,5.49,0.05,29.36,51.75,0.01,0.19,12.62,0.01,0.01,0.42,0.09,2.326,0.0,1.555,0.016,0.003,0.608,0.478,0.011,0.002,55.0
1294,,12.02,37326.43,286.88,168671.72,249790.68,56.91,1360.0,88773.53,93721.97,35.32,109.52,2134.08,7.24,23.6,755.37,0.41,135.87,4.48,1.35,124.88,4.84,0.05,30.63,51.35,0.01,0.16,12.6,0.01,0.01,0.26,0.08,2.315,0.0,1.628,0.01,0.003,0.609,0.423,0.009,0.002,59.0
1295,,15.54,35465.57,306.25,173228.65,270275.67,38.93,1453.39,87797.98,88345.44,54.28,112.99,2824.18,7.72,22.3,831.43,0.27,127.93,6.36,1.0,125.46,4.41,0.05,30.19,53.33,0.01,0.16,11.4,0.01,0.01,0.34,0.09,2.418,0.0,1.613,0.013,0.003,0.554,0.388,0.009,0.002,58.0
1296,,8.9,41478.39,317.32,171776.64,277240.58,53.92,1588.94,89017.42,87457.47,52.17,92.86,2824.18,8.2,23.11,794.83,0.08,128.1,4.15,0.95,126.03,5.07,0.05,29.42,53.76,0.01,0.17,11.09,0.01,0.01,0.33,0.08,2.427,0.0,1.565,0.012,0.003,0.536,0.444,0.01,0.002,54.0
1297,,13.0,40793.58,303.48,161874.42,274481.92,25.94,1392.12,95360.7,92200.96,77.45,108.82,2134.08,7.09,23.92,795.89,0.32,136.29,4.68,1.22,126.61,5.08,0.05,28.24,54.21,0.01,0.15,11.91,0.01,0.01,0.25,0.08,2.45,0.0,1.504,0.009,0.003,0.577,0.445,0.009,0.002,56.0
1298,,16.12,39698.43,326.32,159715.46,285561.39,67.91,1650.48,88529.63,98943.82,58.49,108.47,2220.3,7.56,21.01,790.97,0.2,127.93,5.55,1.7,127.18,4.82,0.05,27.15,54.97,0.01,0.18,12.46,0.01,0.01,0.26,0.08,2.493,0.0,1.451,0.01,0.003,0.606,0.424,0.01,0.002,58.0
1299,,15.73,38435.13,277.2,171302.7,284484.86,50.92,1499.92,109036.0,99333.38,64.81,105.7,2781.03,6.45,25.21,794.48,0.2,127.51,4.88,1.35,127.76,4.58,0.04,28.64,53.85,0.01,0.16,12.3,0.01,0.01,0.32,0.08,2.442,0.0,1.531,0.012,0.003,0.598,0.403,0.009,0.002,59.0
1300,,13.98,37036.5,326.32,173545.9,271331.83,66.91,1561.69,99998.56,91777.03,71.13,111.94,2716.3,5.5,25.86,850.3,0.23,136.97,6.76,0.95,128.33,4.56,0.05,29.97,53.06,0.01,0.17,11.74,0.01,0.01,0.32,0.09,2.403,0.0,1.599,0.012,0.003,0.57,0.4,0.01,0.002,58.0
1301,,12.81,40854.81,270.98,169575.88,278021.49,44.92,1572.17,87797.98,92464.49,62.7,100.84,2543.74,5.5,23.11,810.83,0.32,134.93,5.28,1.53,128.91,4.98,0.04,28.96,53.75,0.01,0.17,11.69,0.01,0.01,0.3,0.08,2.429,0.0,1.542,0.011,0.003,0.566,0.436,0.01,0.002,56.0
1302,,11.44,40654.85,301.4,179874.93,269502.89,53.92,1473.04,87554.12,98502.7,71.13,114.72,2522.17,4.39,23.76,844.48,0.25,131.86,5.02,1.17,129.48,4.91,0.04,30.46,51.67,0.01,0.16,12.35,0.01,0.01,0.29,0.09,2.33,0.0,1.619,0.011,0.003,0.597,0.429,0.009,0.002,58.0
1303,,13.78,43882.33,290.34,171896.84,285481.87,54.91,1542.71,89017.42,97233.75,62.7,106.74,2737.88,7.56,24.41,817.34,0.18,131.86,4.08,1.88,130.06,5.2,0.04,28.54,53.67,0.01,0.16,11.96,0.01,0.01,0.31,0.08,2.422,0.0,1.518,0.012,0.003,0.578,0.455,0.009,0.002,55.0
1304,,14.37,37901.18,310.4,177165.28,269706.82,42.93,1646.54,90236.99,103844.85,41.64,131.04,2543.74,5.34,22.46,828.79,0.27,122.56,5.55,1.13,130.63,4.58,0.05,30.02,51.74,0.01,0.18,13.03,0.01,0.02,0.29,0.09,2.34,0.0,1.6,0.011,0.003,0.631,0.402,0.01,0.002,60.0
1305,,13.2,40524.15,273.05,170259.94,286913.19,43.92,1143.57,92920.53,95961.95,41.64,107.78,3104.75,4.7,27.0,851.89,0.11,129.72,4.68,1.26,131.21,4.83,0.04,28.43,54.25,0.01,0.12,11.87,0.01,0.01,0.35,0.09,2.457,0.0,1.517,0.013,0.003,0.576,0.424,0.007,0.002,57.0
1306,,10.07,35382.14,268.21,165587.48,246950.49,47.92,1430.71,87554.12,97989.96,75.34,99.8,2975.24,3.91,23.6,812.94,0.41,126.31,5.55,0.91,131.79,4.62,0.04,30.28,51.13,0.01,0.17,13.27,0.01,0.01,0.37,0.09,2.311,0.0,1.613,0.014,0.003,0.643,0.405,0.01,0.002,61.0
1307,,16.12,35544.57,288.26,162615.57,255515.96,58.91,1523.67,97557.33,94343.55,75.34,112.99,2457.47,4.7,21.82,842.01,0.25,120.69,4.15,2.46,132.36,4.6,0.05,29.53,52.53,0.01,0.18,12.68,0.01,0.01,0.3,0.09,2.378,0.0,1.575,0.011,0.003,0.615,0.404,0.01,0.002,60.0
1308,,14.76,43103.81,299.33,162282.95,280443.72,48.92,1421.41,95604.74,103160.25,102.73,93.21,3558.25,7.24,24.57,811.89,0.3,121.45,4.68,1.08,132.94,5.2,0.04,27.45,53.7,0.01,0.15,12.92,0.02,0.01,0.41,0.08,2.427,0.001,1.462,0.015,0.003,0.626,0.456,0.009,0.002,57.0
1309,,16.71,38667.51,288.95,170843.84,272398.15,47.92,1286.69,87797.98,94503.95,66.92,107.43,2759.45,5.97,24.89,805.55,0.18,119.07,4.75,1.75,133.51,4.75,0.04,29.43,53.13,0.01,0.14,12.06,0.01,0.01,0.32,0.08,2.404,0.0,1.569,0.012,0.003,0.585,0.417,0.008,0.002,58.0
1310,,14.95,40501.27,267.52,169280.5,261549.1,47.92,1308.27,83409.2,98952.41,56.39,128.61,2457.47,5.97,24.89,806.96,0.27,121.03,5.75,1.48,134.09,5.06,0.04,29.65,51.86,0.01,0.15,12.83,0.01,0.02,0.29,0.09,2.338,0.0,1.575,0.011,0.003,0.62,0.442,0.009,0.002,58.0
1311,,14.76,43493.03,275.82,167455.07,261587.84,40.93,876.77,91944.61,92619.17,69.02,108.47,2371.22,5.5,19.87,866.02,0.34,113.11,5.82,2.15,134.66,5.48,0.04,29.57,52.29,0.01,0.1,12.11,0.01,0.01,0.29,0.09,2.351,0.0,1.567,0.011,0.003,0.583,0.478,0.006,0.002,55.0
1312,,13.98,41038.69,270.28,171193.38,269892.33,46.92,1401.33,87066.39,89648.75,66.92,114.03,2479.04,3.43,24.73,830.72,0.25,125.03,5.08,1.97,135.24,5.08,0.04,29.72,53.06,0.01,0.16,11.53,0.01,0.01,0.29,0.09,2.393,0.0,1.58,0.011,0.003,0.557,0.444,0.009,0.002,55.0
1313,,12.81,36144.31,232.98,160956.17,270960.73,42.93,1190.26,92432.56,105887.18,47.96,116.46,2543.74,5.66,23.11,790.09,0.23,116.51,3.54,1.35,135.81,4.48,0.04,27.98,53.33,0.01,0.13,13.63,0.01,0.01,0.3,0.08,2.421,0.0,1.497,0.011,0.003,0.663,0.394,0.008,0.002,62.0
1314,,13.98,46550.11,257.85,156210.79,271321.63,28.94,1237.29,92188.59,95580.98,50.07,123.4,2716.3,5.5,23.76,824.73,0.34,117.11,4.35,1.84,136.39,5.82,0.04,27.36,53.81,0.01,0.14,12.4,0.01,0.01,0.32,0.09,2.42,0.0,1.45,0.012,0.003,0.597,0.507,0.008,0.002,54.0
1315,,12.81,37617.18,273.05,169916.08,252598.26,46.92,1330.75,104394.2,103094.37,54.28,108.82,2673.16,4.7,25.7,835.13,0.27,120.6,5.08,1.53,136.96,4.77,0.04,30.2,50.83,0.01,0.15,13.57,0.01,0.01,0.32,0.09,2.294,0.0,1.606,0.012,0.003,0.656,0.417,0.009,0.002,61.0
1316,,14.56,35811.89,262.68,168274.34,262401.38,48.92,1402.53,102440.36,91628.07,37.43,111.6,2910.5,5.66,22.14,827.38,0.11,116.26,3.28,1.88,137.54,4.54,0.04,29.91,52.81,0.01,0.16,12.06,0.01,0.01,0.35,0.09,2.392,0.0,1.597,0.013,0.003,0.585,0.399,0.009,0.002,59.0
1317,,10.85,36366.41,257.85,171140.77,274479.89,63.91,1417.84,101707.76,90525.27,47.96,112.29,3018.41,5.02,24.57,797.29,0.2,119.75,3.88,1.97,138.12,4.48,0.04,29.57,53.7,0.01,0.16,11.58,0.01,0.01,0.36,0.08,2.435,0.0,1.58,0.014,0.003,0.563,0.394,0.009,0.002,58.0
1318,,11.05,38425.33,276.51,175744.37,272243.21,57.91,1595.18,98533.76,92281.16,75.34,119.93,2565.3,6.29,21.01,799.4,0.27,114.55,3.88,2.5,138.69,4.7,0.04,30.12,52.83,0.01,0.17,11.71,0.01,0.01,0.3,0.08,2.389,0.0,1.605,0.011,0.003,0.567,0.412,0.01,0.002,57.0
1319,,9.49,37872.51,271.67,166470.13,266008.2,62.91,1383.55,95360.7,99745.86,54.28,116.11,2479.04,5.5,21.98,838.3,0.27,105.19,3.61,1.44,139.27,4.72,0.04,29.1,52.65,0.01,0.15,12.91,0.01,0.01,0.3,0.09,2.383,0.0,1.552,0.011,0.003,0.626,0.414,0.009,0.002,60.0
1320,,10.46,37086.49,257.85,158880.27,286456.47,41.93,1666.16,111479.88,98259.22,43.75,121.66,3039.99,4.39,25.05,889.9,0.32,116.6,5.08,1.44,139.84,4.51,0.04,27.09,55.3,0.01,0.18,12.41,0.01,0.01,0.35,0.09,2.516,0.0,1.452,0.013,0.003,0.605,0.398,0.01,0.002,60.0
1321,,13.2,35769.39,253.01,159630.39,265302.74,58.91,1366.71,96825.07,99273.22,58.49,105.35,3083.16,4.07,21.49,798.87,0.2,117.71,4.15,1.57,140.42,4.53,0.04,28.36,53.36,0.01,0.15,13.06,0.01,0.01,0.37,0.09,2.421,0.0,1.517,0.014,0.003,0.635,0.399,0.009,0.002,61.0
1322,,10.27,36566.92,235.74,180394.43,249293.19,45.92,1555.32,103417.23,90983.58,50.07,120.62,2716.3,4.7,22.14,828.26,0.32,118.64,3.88,1.39,140.99,4.66,0.04,32.22,50.42,0.01,0.18,12.03,0.01,0.01,0.33,0.09,2.272,0.0,1.711,0.012,0.003,0.581,0.407,0.01,0.002,58.0
1323,,10.46,37394.88,248.87,172176.85,266676.99,63.91,1295.2,93652.52,89496.94,43.75,108.47,3147.93,5.5,22.62,819.1,0.23,113.11,3.54,2.19,141.57,4.67,0.04,30.16,52.88,0.01,0.14,11.61,0.01,0.01,0.38,0.09,2.392,0.0,1.608,0.014,0.003,0.563,0.41,0.008,0.002,57.0
1324,,11.24,34577.2,273.74,170942.36,254620.87,44.92,1187.06,101463.57,98981.06,45.85,114.03,2673.16,5.5,24.73,780.08,0.23,117.54,3.61,1.39,142.14,4.4,0.04,30.49,51.42,0.01,0.13,13.07,0.01,0.01,0.32,0.09,2.328,0.0,1.627,0.012,0.003,0.634,0.386,0.008,0.002,62.0
1325,,11.63,38099.1,257.15,169891.29,269276.6,42.93,1356.3,93896.52,99193.02,56.39,116.46,2932.08,3.91,23.76,837.95,0.2,109.02,3.61,1.48,142.72,4.69,0.04,29.33,52.64,0.01,0.15,12.68,0.01,0.01,0.34,0.09,2.382,0.0,1.564,0.013,0.003,0.615,0.412,0.009,0.002,59.0
1326,,10.85,36189.47,253.7,169201.92,271158.51,76.9,1378.75,103417.23,93575.88,58.49,119.23,2845.76,2.8,21.33,831.96,0.08,115.83,3.14,1.26,143.3,4.49,0.04,29.42,53.38,0.02,0.15,12.05,0.01,0.01,0.34,0.09,2.421,0.0,1.572,0.013,0.003,0.585,0.395,0.009,0.002,59.0
1327,,12.22,43423.43,260.61,174336.16,276792.02,45.92,1055.51,100242.72,112260.53,58.49,116.46,3061.58,4.07,23.92,847.65,0.25,122.22,3.74,1.57,143.87,5.12,0.04,28.79,51.76,0.01,0.11,13.73,0.01,0.01,0.34,0.09,2.334,0.0,1.53,0.013,0.003,0.663,0.448,0.006,0.002,59.0
1328,,10.85,37087.45,243.34,168525.07,262378.94,48.92,1118.85,100486.88,109101.07,43.75,127.22,3299.06,4.7,22.62,821.56,0.3,117.62,4.15,1.92,144.45,4.59,0.04,29.22,51.51,0.01,0.12,14.01,0.01,0.02,0.39,0.09,2.332,0.0,1.559,0.015,0.003,0.68,0.403,0.007,0.002,62.0
1329,,9.49,36482.94,276.51,171723.67,266104.03,24.94,1290.09,102684.58,103246.19,39.54,108.13,2651.58,4.23,26.02,841.12,0.23,115.06,3.41,1.7,145.02,4.5,0.04,29.66,52.03,0.01,0.14,13.2,0.01,0.01,0.31,0.09,2.356,0.0,1.583,0.012,0.003,0.64,0.395,0.008,0.002,61.0
1330,,14.17,35891.44,241.96,168312.95,258443.83,51.92,1469.44,104149.95,102616.01,62.7,116.46,2694.73,3.91,21.01,809.77,0.23,121.62,4.55,1.88,145.6,4.52,0.04,29.73,51.68,0.01,0.17,13.42,0.01,0.01,0.32,0.09,2.339,0.0,1.586,0.012,0.003,0.651,0.397,0.01,0.002,62.0
1331,,9.88,32958.45,263.37,156973.61,255536.35,38.93,1321.54,98777.87,107207.69,54.28,123.4,2479.04,5.34,19.06,772.89,0.13,112.42,4.08,1.48,146.17,4.25,0.04,28.41,52.36,0.01,0.15,14.37,0.01,0.02,0.31,0.09,2.379,0.0,1.521,0.012,0.003,0.7,0.374,0.009,0.002,65.0
1332,,11.83,36144.11,246.79,194406.35,261500.17,51.92,1430.75,110013.49,98794.87,47.96,102.58,2630.01,3.91,22.95,909.04,0.23,118.47,4.01,1.22,146.75,4.35,0.04,32.78,49.92,0.01,0.15,12.34,0.01,0.01,0.3,0.09,2.253,0.0,1.744,0.011,0.003,0.597,0.381,0.009,0.002,60.0
1333,,11.24,34654.29,245.41,156202.19,266856.4,37.93,1143.37,92432.56,111023.1,54.28,116.8,2910.5,5.97,22.46,827.38,0.34,120.01,3.61,1.75,147.32,4.35,0.04,27.46,53.11,0.01,0.13,14.45,0.01,0.01,0.35,0.09,2.415,0.0,1.472,0.013,0.003,0.704,0.383,0.008,0.002,64.0
1334,,15.34,34652.59,241.27,179616.96,259243.08,19.95,1211.68,97313.24,96938.72,75.34,126.87,2759.45,4.07,21.49,791.85,0.18,112.42,4.35,1.57,147.9,4.31,0.04,31.34,51.21,0.0,0.13,12.52,0.01,0.02,0.33,0.08,2.318,0.0,1.672,0.012,0.003,0.607,0.378,0.008,0.002,61.0
1335,,13.2,36607.37,253.01,173606.73,259457.18,54.91,1251.7,104394.2,94440.94,37.43,103.27,2716.3,7.88,22.14,830.9,0.25,122.05,3.54,1.97,148.47,4.61,0.04,30.62,51.81,0.01,0.14,12.34,0.01,0.01,0.33,0.09,2.342,0.0,1.631,0.012,0.003,0.598,0.404,0.008,0.002,59.0
1336,,13.0,35093.85,253.7,171285.78,270499.93,44.92,1309.87,89993.06,94693.01,52.17,123.05,2759.45,7.72,25.21,819.8,0.32,121.11,4.48,1.97,149.05,4.34,0.04,29.72,53.14,0.01,0.14,12.17,0.01,0.01,0.33,0.09,2.411,0.0,1.589,0.013,0.003,0.592,0.382,0.008,0.002,60.0
1337,,13.2,35656.0,233.67,163232.39,265078.45,51.92,2158.92,100486.88,101722.31,54.28,112.64,3320.66,4.7,23.6,862.31,0.27,134.5,4.68,1.57,149.63,4.47,0.04,28.7,52.78,0.01,0.24,13.25,0.01,0.01,0.4,0.09,2.394,0.0,1.534,0.015,0.003,0.644,0.393,0.014,0.002,61.0
1338,,13.0,37091.81,235.05,166140.91,280282.65,40.93,1457.33,97801.43,99688.57,73.24,115.76,2996.82,3.75,25.21,810.83,0.18,119.32,5.55,1.92,150.2,4.5,0.04,28.27,54.0,0.01,0.16,12.56,0.01,0.01,0.35,0.08,2.452,0.0,1.513,0.013,0.003,0.611,0.396,0.009,0.002,60.0
1339,,14.76,34401.82,222.63,174032.0,269451.95,37.93,1334.59,105126.98,96712.43,62.7,135.21,2737.88,8.52,20.84,831.43,0.18,125.72,5.22,1.7,150.78,4.24,0.03,30.06,52.7,0.01,0.15,12.37,0.01,0.02,0.32,0.09,2.392,0.0,1.608,0.012,0.002,0.602,0.373,0.009,0.002,61.0
1340,,11.63,34176.05,240.58,178961.52,259206.39,56.91,1399.49,95360.7,88984.21,69.02,106.39,2759.45,4.07,23.76,836.89,0.27,127.25,4.41,1.66,151.35,4.3,0.04,31.6,51.81,0.01,0.16,11.63,0.01,0.01,0.33,0.09,2.345,0.0,1.686,0.012,0.003,0.564,0.377,0.009,0.002,59.0
1341,,13.2,37345.37,223.32,175910.03,272583.7,66.91,1234.86,92188.59,99677.11,43.75,113.68,2824.18,6.93,23.92,831.25,0.13,133.56,4.88,1.79,151.93,4.53,0.03,29.89,52.43,0.01,0.13,12.54,0.01,0.01,0.33,0.09,2.374,0.0,1.595,0.012,0.002,0.608,0.398,0.008,0.002,60.0
1342,,13.59,39024.79,274.43,183618.81,264026.39,32.94,1308.74,97069.14,99402.12,69.02,121.66,2759.45,6.29,23.92,826.14,0.27,130.49,5.15,1.44,152.5,4.74,0.04,31.25,50.87,0.01,0.14,12.53,0.01,0.01,0.32,0.09,2.294,0.0,1.661,0.012,0.003,0.605,0.414,0.008,0.002,59.0
1343,,10.27,38071.31,217.8,164303.04,258535.59,54.91,1279.15,98533.76,100479.15,69.02,108.47,2608.44,6.29,24.08,844.3,0.18,130.06,5.75,1.79,153.08,4.83,0.03,29.23,52.08,0.01,0.15,13.24,0.01,0.01,0.32,0.09,2.353,0.0,1.557,0.012,0.002,0.641,0.423,0.009,0.002,60.0
1344,,14.37,35945.79,238.51,169192.58,280262.27,40.93,1440.92,75611.4,88442.83,81.66,109.86,3493.44,4.23,27.64,856.3,0.27,132.11,5.22,1.35,153.65,4.41,0.04,29.08,54.53,0.01,0.16,11.26,0.01,0.01,0.41,0.09,2.477,0.0,1.557,0.016,0.003,0.548,0.388,0.009,0.002,58.0
1345,,14.76,32985.89,232.29,178899.6,270493.83,31.94,1403.43,101463.57,97712.11,71.13,114.03,2630.01,4.86,26.35,855.77,0.44,138.34,4.82,1.35,154.23,4.03,0.03,30.6,52.38,0.01,0.15,12.38,0.01,0.01,0.31,0.09,2.379,0.0,1.638,0.012,0.002,0.603,0.355,0.009,0.002,62.0
1346,,9.88,37834.03,213.66,175971.6,261526.68,43.92,1466.77,101219.39,106780.88,50.07,118.54,3083.16,4.39,25.7,848.36,0.25,135.1,5.69,1.57,154.8,4.64,0.03,30.23,50.87,0.01,0.16,13.59,0.01,0.01,0.36,0.09,2.298,0.0,1.61,0.014,0.002,0.658,0.406,0.009,0.002,61.0
1347,,10.85,36422.26,230.91,177611.59,267900.32,40.93,1274.02,100731.04,97975.64,56.39,100.15,3147.93,5.02,26.67,805.03,0.25,138.17,6.16,2.23,155.38,4.45,0.03,30.45,52.0,0.01,0.14,12.44,0.01,0.01,0.37,0.08,2.354,0.0,1.625,0.014,0.002,0.603,0.391,0.008,0.002,60.0
1348,,12.41,36662.94,233.67,172628.38,289156.01,38.93,1406.86,91700.64,101547.58,62.7,117.5,2910.5,4.23,25.7,830.02,0.37,148.76,6.29,1.22,155.96,4.32,0.03,28.53,54.1,0.01,0.15,12.43,0.01,0.01,0.33,0.08,2.459,0.0,1.529,0.013,0.002,0.605,0.381,0.009,0.002,61.0
1349,,9.29,40270.79,244.03,168639.97,284878.37,53.92,1376.14,95116.65,96531.97,87.98,116.11,3320.66,4.39,22.3,786.4,0.37,141.84,5.49,1.75,156.53,4.82,0.04,28.32,54.17,0.01,0.15,12.01,0.01,0.01,0.38,0.08,2.454,0.0,1.512,0.014,0.003,0.583,0.423,0.009,0.002,57.0
1350,,13.0,37650.96,239.2,161426.36,258908.71,34.93,1532.44,80971.78,95641.13,54.28,122.71,2673.16,5.02,20.68,865.49,0.34,135.95,7.29,1.66,157.11,4.83,0.04,29.04,52.73,0.01,0.18,12.74,0.01,0.02,0.33,0.1,2.384,0.0,1.547,0.012,0.003,0.617,0.423,0.01,0.003,59.0
1351,,17.3,37549.62,224.01,160856.55,268944.24,62.91,1325.58,94872.62,102555.85,71.13,102.92,3061.58,4.23,24.57,797.12,0.23,140.47,5.49,1.88,157.68,4.68,0.03,28.13,53.24,0.01,0.15,13.28,0.01,0.01,0.36,0.09,2.414,0.0,1.503,0.014,0.002,0.645,0.411,0.009,0.002,61.0
1352,,12.02,34153.1,210.9,178077.67,243706.56,51.92,1217.65,87066.39,84613.09,52.17,114.72,2910.5,4.7,23.92,876.98,0.44,148.67,6.69,2.1,158.26,4.47,0.03,32.69,50.66,0.01,0.14,11.5,0.01,0.01,0.36,0.1,2.287,0.0,1.739,0.014,0.002,0.556,0.391,0.008,0.003,58.0
1353,,14.56,39516.25,250.25,173967.69,249900.79,30.94,1484.31,103905.7,87557.73,71.13,119.93,2608.44,4.7,30.23,806.96,0.41,144.14,6.22,1.57,158.83,5.09,0.04,31.43,51.11,0.01,0.17,11.71,0.01,0.01,0.32,0.09,2.299,0.0,1.666,0.012,0.003,0.564,0.444,0.01,0.002,55.0
1354,,12.61,35525.37,209.52,169766.51,273976.29,19.95,1544.21,94872.62,86893.18,87.98,113.68,2543.74,4.86,22.95,823.68,0.46,144.57,6.69,1.61,159.41,4.42,0.03,29.61,54.11,0.0,0.17,11.23,0.01,0.01,0.3,0.09,2.455,0.0,1.584,0.011,0.002,0.546,0.389,0.01,0.002,58.0
