,Ca44,Na23,K39,Al27,Si29,An
208,81707.14,37721.59,1532.81,156247.46,266451.75,55.0
209,86676.92,35553.84,1288.56,158173.5,225063.82,58.0
210,79011.72,38455.84,1238.33,137735.96,242151.96,54.0
211,81323.31,40047.88,1272.48,159167.41,260080.14,53.0
212,81583.97,38967.65,1426.21,154682.65,248335.99,54.0
213,78811.21,38721.11,1358.06,146904.25,251064.05,53.0
214,76992.3,38408.64,1361.2,162364.72,233888.23,53.0
215,78046.41,38727.45,1512.56,154985.16,261580.78,53.0
216,69453.13,35455.76,1640.84,168334.7,240214.98,52.0
217,77854.49,39322.35,1609.49,152865.82,263438.22,53.0
218,76396.5,37842.95,1321.88,156282.49,250321.88,53.0
219,84557.24,42397.89,1602.15,165410.91,293995.42,53.0
220,73755.5,42087.87,1570.66,149304.52,263599.3,50.0
221,77605.29,39572.17,1704.21,160152.34,258930.19,52.0
222,83875.51,39809.38,1505.39,165461.86,231337.55,54.0
223,76728.77,41412.05,1337.98,166161.84,260534.81,51.0
224,82706.83,41146.5,1462.7,145450.05,253588.23,53.0
225,79060.42,39867.88,1630.57,168576.84,253735.03,53.0
226,81286.07,39584.08,1501.32,147935.48,253331.32,54.0
227,77098.28,42028.75,1725.46,159424.1,250984.53,51.0
228,77734.18,37853.51,1544.55,145989.02,278456.87,54.0
229,75623.1,37189.13,1694.07,163841.35,239576.81,53.0
230,74626.28,39360.22,1387.68,143883.13,245218.49,52.0
231,72689.93,37489.34,1268.61,149550.88,274593.11,52.0
232,70736.39,41713.29,1756.91,151018.62,251840.88,49.0
233,73277.14,39673.78,1507.19,152279.63,243002.18,51.0
234,74832.52,38196.08,1287.36,155934.61,245232.76,52.0
235,81157.17,38433.57,1727.39,156241.6,267322.35,54.0
236,74182.3,35320.03,1632.13,143057.18,260053.63,54.0
237,80002.81,36742.02,1695.34,131660.23,264294.56,55.0
238,76279.06,40351.98,1547.75,151513.52,259480.69,52.0
239,73973.19,44264.26,1477.74,145518.74,231449.7,48.0
240,78670.85,40156.31,1768.02,146398.3,240547.34,52.0
241,77012.35,39534.5,1384.98,146690.66,227247.5,52.0
242,76035.58,37793.37,1826.95,141997.52,255472.19,53.0
243,84153.36,37467.14,1648.34,139854.47,246284.84,56.0
244,78481.8,41264.12,1930.11,151389.65,253133.55,52.0
245,75843.66,37901.32,1613.09,165882.29,257922.96,53.0
246,79255.2,35998.43,1819.45,146536.24,237213.71,55.0
247,74680.71,38843.77,1792.76,143335.19,253869.61,52.0
248,74703.62,42728.0,1698.04,151753.27,235529.57,49.0
249,75210.63,36473.34,1907.2,142640.59,242457.8,53.0
250,78541.95,38582.31,2009.5,145750.09,243599.59,53.0
251,75597.32,37080.57,1784.56,147881.97,232412.06,53.0
252,83706.51,39176.6,1921.04,141461.82,279614.99,54.0
253,78132.34,43356.34,1616.99,151047.98,280116.56,50.0
254,80369.46,42272.91,1916.84,141000.51,266129.59,52.0
255,71369.43,44933.14,1710.28,156928.6,254281.47,47.0
256,89865.02,40224.89,1474.9,147270.63,268458.03,56.0
257,75159.07,42083.17,1805.37,147288.46,242873.73,50.0
258,71094.45,37517.27,1800.37,145157.86,233975.91,51.0
259,76207.45,38803.11,1818.48,149084.7,285323.92,52.0
260,76488.16,45993.95,1732.36,141666.73,262306.61,48.0
261,75018.71,41641.3,1820.71,163841.89,268056.36,50.0
262,75668.93,41422.06,1827.69,154749.25,275241.49,51.0
263,79644.75,41475.05,1707.41,144167.81,256881.08,52.0
264,81162.9,40634.96,1545.08,131723.71,243675.03,53.0
