,Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208
1-041 BCR2.csv,0.0015460048483927349,0.0009822167403342043,0.0014098076483643686,0.0011104040773182665,0.025680196822272242,0.00035077530936796636,9.274007552780634e-05,0.4999936543045054,0.03139325465158145,0.009929436645658391,0.005794662014224417,0.03327380544041832,0.002800111398116013,0.0011846672489286923,0.0005583568240744995,0.0005152788489100928,0.0005987317846854606,0.000461024960000333,
1-042 NIST610.csv,0.001065573391438037,0.0006901394171820293,0.0008968282362780453,0.0008117345046466394,0.019683004014066405,0.0028131330704630596,0.001031509463588124,0.34263817598100976,0.021440339776569523,0.006496150973960926,0.00041281255310181503,0.01820617216992669,0.0017381400684216431,0.0007990704044950107,0.00036686446412546164,0.0003265886882221848,0.0003949853348858846,0.00030170461519189403,
2-001-N610.csv,0.0012404188517093856,0.0007870151978935723,0.0010027656359676309,0.000892425587082416,0.021936191589952275,0.0031596148268217858,0.0019044102753421692,0.38427732995703967,0.024326387606953583,0.007181887368606998,0.0004675641318702462,0.019379964240402968,0.0019522168817134257,0.0009005052917669972,0.0004214043582638609,0.0003468694479094354,0.00046975885558427327,0.00036133483739118026,
2-002-BCR2.csv,0.0014655791746041738,0.0009596860674875953,0.0013474052892312887,0.0010732168731264129,0.025349603381678257,0.0003664138508352653,8.988891040920164e-05,0.46959699788473286,0.02990743600087057,0.009223864637929645,0.005567555584300571,0.03320275812135155,0.00277997350847002,0.0011643542997048185,0.0005259265829855407,0.0004850898321812043,0.0005748865901668436,0.00044530424713409763,
2-004-SPH2.csv,0.0019024331011646756,0.001325574531869558,0.0019493760226132234,0.0015629082224516303,0.03539223399059911,0.005324398791567854,0.0013752492566948445,0.6980892930970471,0.04463365275615923,0.010186755436941844,0.0016547300814083777,0.03952937307949575,0.0031413083559773116,0.0016200953532690635,0.000796707300877031,0.000683132992122554,0.0008193705019153047,0.0006468457727080846,0.0013364109773433479
2-017-SPH3.csv,0.0022303701929598844,0.0015753350466787383,0.0022940969054604885,0.0018286381418453777,0.04134693481096876,0.006280627195738903,0.0015663454285406722,0.8245662917181984,0.05235759128724245,0.011963793052463144,0.0019421179249915692,0.04632032111718022,0.003773216246491834,0.0019136462937665761,0.0009396531024544394,0.0008129939864910179,0.000970807065138096,0.0007667448930345162,0.001552200243811453
2-018-BCR2.csv,0.001467712792103131,0.0009395522471510248,0.0013228543607632893,0.0010499173237228277,0.024490221505053332,0.00034786236629071976,8.826034198056801e-05,0.4676493783629067,0.02953926111808641,0.009135485184527566,0.005492071345374639,0.03242860439417866,0.002570649432521096,0.0011571659152242264,0.0005283171399446166,0.00048840808935362,0.0005771010239982917,0.00044876075762420527,
2-019-NIST610.csv,0.001200933384109386,0.0007549797193063422,0.0009671369097680798,0.0008604972271008677,0.02102907547974735,0.0029873557072645157,0.001102731273168158,0.3733163776106324,0.023648672425944168,0.007038303041878365,0.00045402785311720884,0.019178285015124683,0.0018827077301345463,0.0008707783766365108,0.00040849703219287295,0.00033955222238138443,0.00045380151016622333,0.00034867561729879466,
2-020-NIST610.csv,0.001208714306375468,0.0007580392104402115,0.0009664837520986822,0.000858775806779212,0.0207779112400283,0.0028584254264967953,0.0011750622970935908,0.3643982793463553,0.023285438369491124,0.006895784714859331,0.00044920607495176523,0.019101161975430644,0.0018420515140095191,0.0008523343720947666,0.0004034838151533231,0.00033535451123110617,0.0004422695238730055,0.0003426611731507243,
2-021-BCR2.csv,0.001392872194027954,0.0008956913333228437,0.0012719341112689474,0.0010023065794700983,0.02322541472066773,0.00031634395316322144,8.371430274503226e-05,0.44793050842895915,0.028408192198766356,0.008691767845018497,0.0052628309467297,0.031012361493222704,0.0025948007541087502,0.0010930887411122261,0.0005068935377792653,0.00046805217260903654,0.0005535487401998006,0.00042257386923630596,
2-022-SPH.csv,0.0019248810605204981,0.0013583214654127828,0.001964340577835149,0.0015679358900918922,0.035216956922706655,0.004607290738425633,0.0013824922321123757,0.7061669884380872,0.0445466293463944,0.010190048048921808,0.0016711383839762748,0.03951528913800468,0.0031418505142654495,0.0016488635301214344,0.0007951424774488901,0.000657612354463717,0.0008176585849139983,0.0006441792016657948,0.0013733045783918638
2-033-SPH.csv,0.00226775290337543,0.001570918293159756,0.002423248544926745,0.0019159750010729903,0.04007671905781643,0.005639993370382349,0.0016214742339058963,0.8726260509086543,0.05554083916449358,0.012487245445118962,0.002045007720089153,0.04853089895428273,0.0034515786757240694,0.001840144558218576,0.0009776745544460002,0.0008122366650076075,0.0010063796019416239,0.0007895696339243746,0.0013644357333346365
2-034-SPH.csv,0.002270037699518255,0.0015889432702681442,0.0023234862182003485,0.0018466345510288892,0.04059077174186878,0.00627921092030945,0.0016183992015889053,0.8256857118242422,0.05267321701563705,0.011905403085552201,0.001945326790196841,0.04750781362535718,0.003651621371876083,0.0019057715763245546,0.0009404319323754656,0.0008043944650653071,0.0009765379970572125,0.0007673958122062885,0.0015384888265312512
2-048-SPH.csv,0.0019512445305719522,0.0013609974100770457,0.0020552228153215965,0.0016163058684604914,0.035297114381901765,0.004987214679573304,0.0013797332080805334,0.7255436004147124,0.04620340825672861,0.010527389909924271,0.0017261238906769976,0.04293872606574312,0.00317506018557104,0.001617142788260269,0.0008213028776204555,0.0007045628508377588,0.0008432932423165966,0.0006694689931597244,0.0013272396453198805
2-049-BCR2.csv,0.0014125744306708818,0.000924350633162453,0.0012877782028498338,0.001020895369196072,0.02408920175072821,0.0003434064240408923,8.847673555783587e-05,0.4597371233176123,0.02899784449518618,0.00889664581924966,0.005348333814154493,0.0313852886461664,0.0025848766804924214,0.001151079097043119,0.000512372509772196,0.0004763413386577003,0.000556354174552142,0.0004253266418127954,
2-050-NIST.csv,0.0014585677363129568,0.0009688950178523579,0.001275121413941323,0.0012531009206630988,0.02811972882621298,0.004193394810989597,0.001759971682837275,0.5127395205129547,0.032091007893092036,0.009790785135391479,0.0005861971129463387,0.0271899324927366,0.002587496197109504,0.0011777749701742907,0.0005542993554060911,0.0005407439745398941,0.0005840041633844031,0.00044785886163885904,
2-051-NIST.csv,0.0012333351815338313,0.0007932658060681214,0.0010133554345238785,0.0009034084121450035,0.021561289542113945,0.0029572080972673034,0.0010579146218537558,0.3807547639222624,0.024226847908129512,0.0072611895482103065,0.00046848447437420633,0.01994419497286376,0.0019232625872978436,0.0008828464838551882,0.00041434887349012266,0.0003527079312800459,0.0004506467417183719,0.00034708866568169196,
2-052-NIST.csv,0.0012325972043913894,0.0007879210223902391,0.0010032297212389405,0.0008997590576180759,0.021815759006873145,0.003037385201450883,0.001006031392913002,0.38168879104896275,0.024080075287614095,0.007183536211165516,0.00046486305114810727,0.019696643137342727,0.001955436802212813,0.0008913494078065821,0.0004149110592213415,0.0003538924460235888,0.00044989593681771836,0.00034420321220963475,
